Custom Language|Українська
Electric|Електрика
Electric bill is calculated each day based on light usage in shop|Рахунок за електроенергію щодня залежить від того, скільки освітлення використовується в магазині.
Employee|Працівник
Empty Chest|Порожня скриня
Enable|Увімкнути
Ends In :|Завершиться через:
Ends in|Завершиться через
Ends in :|Завершиться через:
Epic|Епічна
Epic Card Box|Епічна коробка карток
Epic Card Pack|Епічний бустер
Epic Destiny Box|Епічна коробка «Доля»
Epic Destiny Pack|Епічний бустер «Доля»
Epic Foil Pack|Епічний фойловий бустер
Epic pack and card price might XXX|Ціна епічних бустерів і карток може змінитися: XXX
Esmerdios|Есмердіос
Esmeri|Есмері
Esmerock|Есмерок
Event|Подія
Event Ended|Подія завершена
Event Ends In :|Подія завершиться через:
Evolve|Еволюціонувати
Evolves From|Еволюціонує з
Exit|Вихід
Exit Counter|Відійти від каси
Exit Game|Вийти з гри
Exp|Досвід
Exp Gained|Отримано досвіду
Expand Shop|Розширити магазин
Expansion|Розширення
Explorer|Дослідник
FIGHT !|БИЙСЯ!
Fair price I'd say.|Як на мене, ціна цілком чесна.
Fair price for a XXX.|На XXX цілком чесна ціна.
Fair price, but I don't have enough money.|Ціна чесна, але грошей не вистачає.
Fast|Швидко
February|Лютий
Fee|Плата
Fee is too high here!|Плата тут занадто висока!
Feedback|Відгук
Fees are collected automatically after players finish playing at the play table|Плата стягується автоматично після того, як гравці завершують партію за ігровим столом.
Fight|Битва
Figurine|Фігурка
Fill Shelf|Заповнити полицю
Fire|Вогонь
Fire Battle Deck|Бойова колода Вогню
Fire Cup|Кубок Вогню
Fire Destiny Deck|Колода «Доля Вогню»
Fire element deals XXX extra damage this turn|Стихія Вогню завдає на XXX більше шкоди цього ходу
Fire element deals XXX extra damage this turn, draw YYY|Стихія Вогню завдає на XXX більше шкоди цього ходу, потім доберіть YYY
Fire element deals double damage this turn|Стихія Вогню завдає подвійної шкоди цього ходу
Fire element deals double damage this turn, but water element deals no damage|Стихія Вогню завдає подвійної шкоди цього ходу, але стихія Води не завдає шкоди
First Edition|Перше видання
Fistronk|Фістронк
Flambrolly|Фламброллі
Flamchik|Фламчик
Flami|Фламі
Flory|Флорі
Foil|Фойл
Foil Booster|Фойловий бустер
For Sale|Продається
Format|Формат
Format :|Формат:
Forush|Форуш
Forward|Вперед
Frames Per Second|Кадрів на секунду
Free|Безкоштовно
Frizard|Фрізард
Full Art|Повна ілюстрація
Full Expansion|Повне розширення
Full Screen|Повний екран
Fullscreen Toggle|Повноекранний режим
Fuzzy|Розмитий
Game|Гра
Game Earning|Дохід від ігор
Game Paused|Гру призупинено
Game Roadmap|План розвитку гри
Game Saved|Гру збережено
Gamepad|Геймпад
Gannon|Ганнон
Gekoflare|Гекофлер
General|Загальний
Ghost|Привид
Ghost Edition|Видання «Привид»
Ghost Pack|Бустер «Привид»
Giant Shelf|Гігантська полиця
Giganite|Гіганіт
Giganite Statue|Статуя «Гіганіт»
GigatronX|ГіґатронХ
Gilgabass|Гілґабас
Give|Дати
Giving|Клієнт дає
Giving Away|Безкоштовна роздача
Global Ranking|Світовий рейтинг
Go Discord|Перейти в Discord
Go Next Day|Перейти до наступного дня
Go Recruit|Перейти до найму
Go Shop|Перейти до магазину
Goals|Цілі
God, so expensive.|Боже, як дорого.
Gold|Золото
Gold Edition|Золоте видання
Gold Finger|Золотий палець
Golden Star|Золота зірка
Good|Добре
Good price!|Хороша ціна!
Good price, but I am broke.|Ціна хороша, але я без грошей.
Grab card packs on shelf and open them to get new cards|Візьміть бустери з полиці та відкрийте їх, щоб отримати нові картки.
Grizzaw|Гріззау
Guard|Охорона
Gupi|Гупі
HP|HP
Hand is full already|Рука вже повна
Helio|Геліо
Hey man, I went to the gym every night. You need a muscle?|Гей, я щовечора ходив у спортзал. Потрібна пара сильних рук?
Hey, Benji here. Do you need a helping hand in your shop? I'm so excited to work in your shop!|Привіт, це Бенджі! Потрібна допомога в магазині? Я дуже хочу тут працювати!
Hire|Найняти
Hire me cause I play and know a lot about TCG, do I get card packs as bonus at the end of the month?|Найміть мене: я граю в TCG і добре на них знаюся. А бустери наприкінці місяця як бонус дають?
Hired!|Найнято!
Hold|Тримати
Holo Heaven|Голо-рай
Honobi|Хонобі
Huge Card Display|Велика вітрина для карток
Huge Personal Shelf|Велика особиста полиця
Hydroid|Гідроїд
Hydron|Гідрон
I am looking for XXX.|Я шукаю XXX.
I can't find XXX.|Я не можу знайти XXX.
I don't have much experience but am willing to learn and do anything. Please hire me cause I need the money to pay for art school.|Досвіду в мене небагато, але я готовий учитися й братися за будь-яку роботу. Будь ласка, найміть мене — треба оплатити художню школу.
I need XXX.|Мені треба XXX.
I quit my day job to open my own card game store. This is it, time to get down to business!|Я звільнився з роботи, щоб відкрити власний магазин карткових ігор. Ось він — час братися до справи!
I want this, but I am broke.|Хочу це, але грошей немає.
I will play somewhere else!|Я буду грати в іншому місці!
I worked in another shop for a few months and gained experience, just finished art school so I have time to work for a while.|Кілька місяців працював в іншому магазині й набрався досвіду. Щойно закінчив художню школу, тож поки маю час попрацювати.
I would so buy this if I have enough money|Я б точно це купив, якби вистачало грошей.
I'm an enthusiastic gamer who loves TCG. I'm eager to bring my expertise and positive energy to your shop! <3|Я затятий гравець і обожнюю TCG. Із радістю принесу в твій магазин свої знання та позитив! <3
I'm not sure why my friends keep calling me the red comet , they say I move three times faster? Maybe they are just slow.|Не знаю, чому друзі називають мене «червоною кометою». Кажуть, я рухаюся втричі швидше. Може, це вони просто повільні?
In Progress|У процесі
Income|Доходи
Inferhog|Інферхог
Inferhog Figurine|Фігурка «Інферхог»
Inferhog Statue|Статуя «Інферхог»
Info|Інформація
Insert Name|Введіть ім’я
Insert Shop Name Here|Введіть назву магазину тут
Insert Your Name Here|Введіть своє ім’я тут
Insufficient Cash|Недостатньо готівки
Interact|Взаємодіяти
Interact Put Item|Взаємодіяти / Покласти товар
Invalid Name|Неприпустиме ім’я
Inventory|Інвентар
Inverted Camera|Перевернута камера
Is there a job opening for your shop? I love collecting cards but money is tight now. I'm a math addict btw.|У вас є вакансії? Я обожнюю колекціонувати картки, але зараз із грошима туго. До речі, я фанат математики.
Is this correct?|Це правильно?
It's a little expensive, hmm...|Трохи дорогувато, хм...
It's pricey, I need to think a little.|Дорогувато. Треба трохи подумати.
It's too smelly!|Надто смердить!
Item|Товар
Item Earning|Дохід від товарів
Item Given|Товар передано
Item Sold|Товар продано
Item Value :|Вартість товару:
Items will be lost if checkout is not finished. Are you sure about proceeding to the next day?|Незавершені покупки буде втрачено. Точно перейти до наступного дня?
Jacktern|Джектерн
January|Січень
Jelicleen|Джеліклін
Jigajawr|Джіґаджавр
July|Липень
Jump|Стрибок
Jump Checkout|Стрибок / Оформлення покупки
June|Червень
Kataryu|Катариу
Katengu|Катенгу
Keep|Зберегти
Keybind|Призначення клавіш
Keyboard|Клавіатура
Kidsune|Кідсуне
King|Король
Kingstar|Кінгстар
Kingstar Plushie|Плюшева іграшка «Кінгстар»
Kingstar Statue|Статуя «Кінгстар»
Kyrone|Кайрон
Kyuenbi|Кюенбі
LATE !|ПРОСТРОЧЕНО!
LEVEL UP!|Підвищення рівня!
LOCKED|ЗАБЛОКОВАНО
Lamia|Ламія
Language|Мова
Large Shelf|Велика полиця
Late By XXX Day|Прострочено на XXX день
Late By XXX Days|Прострочено на XXX днів
Late Payment|Прострочений платіж
Later|Пізніше
Latest Version :|Остання версія:
Learn More|Дізнатися більше
Left|Ліворуч
Legend|Легенда
Legendary|Легендарна
Legendary Card Box|Легендарна коробка карток
Legendary Card Pack|Легендарний бустер
Legendary Collector|Легендарний колекціонер
Legendary Destiny Box|Легендарна коробка «Доля»
Legendary Destiny Pack|Легендарний бустер «Доля»
Legendary Foil Pack|Легендарний фойловий бустер
Legendary pack and card price might XXX|Ціна легендарних бустерів і карток може змінитися: XXX
Let 10 customers play card game in the shop|Дайте 10 клієнтам зіграти в карткову гру в магазині
Let customers in by switching the sign on the window to OPEN|Впустіть клієнтів, перемкнувши вивіску на вікні на «ВІДЧИНЕНО».
Level|Рівень
Level :|Рівень:
Level Gained|Новий рівень
Level MAX|Максимальний рівень
Level Up|Підвищення рівня
Level XXX|Рівень XXX
License|Ліцензія
Litspire|Літспайр
Load|Завантажити
Load Game|Завантажити гру
Loading this save slot will overwrite the current auto save slot. Are you sure about it?|Завантаження цього слота перезапише поточне автозбереження. Продовжити?
Locked|Заблоковано
Long Shelf|Довга полиця
Losses|Поразки
Lucadence|Люкаденс
Lucadense|Люкаденс
Lucandense|Люкаденс
Lucinder|Люсіндер
Lumie|Лумі
Lunight|Люнайт
Lunight Figurine|Фігурка «Люнайт»
Lunight Statue|Статуя «Люнайт»
Luphire|Луфір
Lupup|Лупап
MY DIY|Мій DIY
Mafia Works|Мафія працює
Mage|Маг
Magic|Магія
Magical Attacker|Магічний нападник
Magnoria|Магнорія
Main Menu|Головне меню
Mammotree|Маммотрі
Man Counter|Стати за касу
Man the cashier by standing behind counter and interact it|Станьте за касу та взаємодійте з нею, щоб почати обслуговувати покупців.
Man, XXX sure is expensive!|Ого, XXX коштує недешево!
Man, this is expensive!|Ого, дорого!
Manage Event|Керувати подією
Manning Counter|Робота за касою
March|Березень
Market Fee|Ринкова комісія
Market Fee :|Ринкова комісія:
Market Price|Ринкова ціна
Marketing|Маркетинг
Match|Матч
May|Травень
Maybe if I have enough money.|Може, якщо вистачить грошей.
Medium Shelf|Середня полиця
Medium Table|Середній стіл
Megamite Statue|Статуя «Мегаміт»
Meganite|Меганіт
Meganite Figurine|Фігурка «Меганіт»
Meganite Statue|Статуя «Меганіт»
Meganite Statue Upgrade|Покращення статуї «Меганіт»
Min|Мін.
Minimum Card To Remain|Мінімум карток, які слід залишити
Minimum Price|Мінімальна ціна
Minotos|Мінотос
Minstar|Мінстар
Minstar Plushie|Плюшева іграшка «Мінстар»
Minstar Statue|Статуя «Мінстар»
Minute|Хвилина
Minutes|Хвилини
Money|Гроші
More Games|Більше ігор
More Info|Більше інформації
Moskit|Москит
Mothini|Мотіні
Mouse Sensitivity|Чутливість миші
Move|Рухатися
Move Backward|Рухатися назад
Move Forward|Рухатися вперед
Move Left|Рухатися вліво
Move Right|Рухатися вправо
Move Shelf|Перемістити полицю
Muffleur|Муффлер
Mufflimax|Муффлімакс
Mufflin|Муффлін
Mummog|Муммог
Music|Музика
My work standard is quite high, and my skills will be quite invaluable, I assure you.|Я працюю за високими стандартами. Запевняю, мої навички будуть для вас дуже цінними.
NEW|НОВИНКА
NOTE|Нотатка
Name|Ім’я
Name :|Ім’я:
Name can't be empty|Ім’я не може бути порожнім
Name is not available|Ім’я недоступне
Name is too short|Ім’я занадто коротке
Nanomite|Наноміт
Nanomite Plushie|Плюшева іграшка «Наноміт»
Nanomite Statue|Статуя «Наноміт»
Nearby Stores Charge|Ціни в сусідніх магазинах
Necromansters|Некромонстри
Need work. Me strong, I carry stuff for you yes?|Робота треба. Я сильний. Носити речі для вас, так?
Negate XXX of opponent's earth element damage next turn, draw YYY|Заблокуйте XXX шкоди від стихії Землі суперника наступного ходу, потім доберіть YYY
Negate XXX of opponent's fire element damage next turn, draw YYY|Заблокуйте XXX шкоди від стихії Вогню суперника наступного ходу, потім доберіть YYY
Negate XXX of opponent's water element damage next turn, draw YYY|Заблокуйте XXX шкоди від стихії Води суперника наступного ходу, потім доберіть YYY
Negate XXX of opponent's wind element damage next turn, draw YYY|Заблокуйте XXX шкоди від стихії Вітру суперника наступного ходу, потім доберіть YYY
New Game|Нова гра
Next|Далі
Next 10 Page|Наступні 10 сторінок
Next Customer:|Наступний клієнт:
Next Day|Наступний день
Next Game Event|Наступна ігрова подія
Next Goal|Наступна мета
Next Page|Наступна сторінка
Nimblis|Німбліс
Nimboculo|Німбокуло
Nimbustrike|Німбустрейк
No|Ні
No Refund No Exchange!|Без повернення, без обміну!
No XXX here.|Тут немає XXX.
No effect|Без ефекту
No effect on card pack price.|Не впливає на ціну бустерів.
No empty slot available|Немає доступних порожніх слотів
No item on hand|У руках немає товару
No space to put the bulk box after bundling|Після пакування немає місця для коробки недорогих карток
No thanks|Ні, дякую
No, Thank You|Ні, дякую
Nocti|Нокті
Nocti Plushie|Плюшева іграшка «Нокті»
Nocti Statue|Статуя «Нокті»
None|Немає
Normal|Звичайний
Not Available Yet|Ще недоступний
Not Enough Money|Недостатньо грошей
Not Enough Stock|Недостатньо запасу
Not For Sale|Не продається
Not Found|Не знайдено
Not Good|Погано
Not a bad price really.|Не така вже й погана ціна.
Not a bad price, but I am broke.|Ціна непогана, але грошей немає.
Not enough card packs|Недостатньо бустерів
Not enough cards to make into bundle|Недостатньо карток, щоб зібрати пачку
Not enough change given|Видано недостатньо решти
Not enough customer played in shop|У магазині зіграло недостатньо клієнтів
Not enough money|Недостатньо грошей
Not enough shop level|Недостатній рівень магазину
Not more slot available|Більше немає вільних слотів
NotUsed/Aetheria|Аетерія
NotUsed/Aetheria RPG|Аетерія RPG
NotUsed/Aetheria RPG Pack|Набір карток «Аетерія RPG»
NotUsed/Alpha|Альфа
NotUsed/Ancient Hammer|Стародавній молот
NotUsed/Arc Missile|Дуговий снаряд
NotUsed/Arcade Claw|Ігровий автомат із клешнею
NotUsed/Arcade Machine|Аркадний автомат
NotUsed/Archer|Лучник
NotUsed/Architect|Архітектор
NotUsed/Armored Slime|Броньований слиз
NotUsed/Artist|Художник
NotUsed/Astronaut|Астронавт
NotUsed/Axe|Сокира
NotUsed/Axe Warrior|Воїн з сокирою
NotUsed/Barber|Перукар
NotUsed/Barrage Missile|Залпова ракета
NotUsed/Barrage Missle|Залпова ракета
NotUsed/Barrel Hammer|Бочковий молот
NotUsed/Bartender|Бармен
NotUsed/Battle|Битва
NotUsed/Battle Chip|Чип битви
NotUsed/Beginner Player|Гравець-початківець
NotUsed/Beta|Бета
NotUsed/Blacksmith|Коваль
NotUsed/Blitz|Бліц
NotUsed/Bodybuilder|Бодібілдер
NotUsed/Bolt|Болт
NotUsed/Bonsai|Бонсай
NotUsed/Bouncer|Охоронець
NotUsed/Boxing Glove|Боксерська рукавиця
NotUsed/Bumblebee|Джміль
NotUsed/Capacity|Місткість
NotUsed/Capitalist|Капіталіст
NotUsed/Casual|Любительський
NotUsed/Casual Player|Гравець-аматор
NotUsed/Cat Mage|Кіт-маг
NotUsed/Cat Pirate|Кіт-пірат
NotUsed/Cat Thief|Кіт-злодій
NotUsed/Chain Gun|Багатоствольний кулемет
NotUsed/Chill Missile|Охолоджуючий снаряд
NotUsed/Collector|Колекціонер
NotUsed/Composer|Композитор
NotUsed/Connect|Підключити
NotUsed/Connect Error|Помилка підключення
NotUsed/Connecting|Підключення...
NotUsed/Connection Problem|Проблема з підключенням
NotUsed/Connection error|Помилка підключення
NotUsed/Connoisseur|Знавець
NotUsed/Construction|Будівництво
NotUsed/Contains at least:|Містить щонайменше:
NotUsed/Cook|Кухар
NotUsed/Creator|Творець
NotUsed/Crescent Claw|Півмісячний кіготь
NotUsed/Crescent Machete|Півмісячна мачете
NotUsed/Crimson Wheel|Багряне колесо
NotUsed/Cryo Blaster|Кріобластер
NotUsed/Cyber|Кібер
NotUsed/Cyclops|Циклоп
NotUsed/Dark Knight|Темний лицар
NotUsed/Director|Директор
NotUsed/Dragon|Дракон
NotUsed/Dragon Knight|Лицар-дракон
NotUsed/Drill|Свердло
NotUsed/Dual Missile|Подвійна ракета
NotUsed/Eldritch Creature|Потойбічна істота
NotUsed/Elec Broadsword|Електричний палаш
NotUsed/Electric|Електрика
NotUsed/Electric Chainsaw|Електрична бензопила
NotUsed/Electric Spike|Електричний шип
NotUsed/Electrician|Електрик
NotUsed/Energy|Енергія
NotUsed/Energy Shield|Енергетичний щит
NotUsed/Fan Blade|Лезо вентилятора
NotUsed/Farmer|Фермер
NotUsed/Feather Blade|Лезо з пір’ям
NotUsed/Fencer|Фехтувальник
NotUsed/Fire Axe|Вогняна сокира
NotUsed/Fire Broadsword|Вогняний палаш
NotUsed/Fire Katana|Вогняна катана
NotUsed/Fire Rocket|Вогняна ракета
NotUsed/Fire Shield|Вогняний щит
NotUsed/Fire Twin Axe|Подвійна вогняна сокира
NotUsed/Fireman|Пожежник
NotUsed/Flamethrower|Вогнемет
NotUsed/Florist|Флорист
NotUsed/Freeze Bomb|Заморожувальна бомба
NotUsed/Friend Challenge|Виклик друга
NotUsed/Friend Invitation|Запрошення друга
NotUsed/Friend List|Список друзів
NotUsed/Friend Username|Ім’я користувача друга
NotUsed/Friend invitation received|Отримано запрошення від друга
NotUsed/Friend request sent|Запит на додавання в друзі надіслано
NotUsed/Friends|Друзі
NotUsed/Gamer|Геймер
NotUsed/Gamma|Гамма
NotUsed/Garuda|Гаруда
NotUsed/Geologist|Геолог
NotUsed/Giga Blade|Гігалезо
NotUsed/Giga Bundle|Гіганабір
NotUsed/Giga Cannon|Гігармата
NotUsed/Goblin Mage|Гоблін-маг
NotUsed/Goblin Thief|Гоблін-злодій
NotUsed/Goblin Warrior|Гоблін-воїн
NotUsed/Golem|Голем
NotUsed/Grandma|Бабуся
NotUsed/Handyman|Майстер на всі руки
NotUsed/Hangar|Ангар
NotUsed/Harpy|Гарпія
NotUsed/Hawk|Яструб
NotUsed/Heat Knife|Термоніж
NotUsed/Heat Missile|Теплова ракета
NotUsed/Hiker|Турист
NotUsed/Ice Broadsword|Крижаний палаш
NotUsed/Ice Mortar|Крижана мінометка
NotUsed/Ice Pike|Крижана піка
NotUsed/Ice Spinner|Крижаний спінер
NotUsed/Ice Twin Spear|Подвійна крижана піка
NotUsed/Inferno Boost|Інферно прискорення
NotUsed/Influencer|Інфлюенсер
NotUsed/Ink Knight|Чорнильний лицар
NotUsed/Investor|Інвестор
NotUsed/Iron Ball|Залізна куля
NotUsed/Janitor|Двірник
NotUsed/Jester|Блазень
NotUsed/Jet Burner|Реактивний пальник
NotUsed/Kabuto|Кабуто
NotUsed/Katana|Катана
NotUsed/Katana Display|Стенд для катани
NotUsed/Knight|Лицар
NotUsed/Knight Shield|Лицарський щит
NotUsed/Knight Sword|Лицарський меч
NotUsed/Laundry|Пральня
NotUsed/Lawyer|Юрист
NotUsed/Librarian|Бібліотекар
NotUsed/Light Saber|Світловий меч
NotUsed/Lion Shield|Левиний щит
NotUsed/Magnetic Coil|Магнітна котушка
NotUsed/Maid|Покоївка
NotUsed/Master Arena|Майстер арени
NotUsed/Mauler Mace|Булава маулера
NotUsed/Megabot|Мегабот
NotUsed/Megabot Card Collector|Колекціонер карток Мегабота
NotUsed/Megabot Pack|Набір Мегабота
NotUsed/Megavolt Beam|Мегавольтний промінь
NotUsed/Mimic|Мімік
NotUsed/Mini Missile|Міні-ракета
NotUsed/Minotaur|Мінотавр
NotUsed/Missile Cannon|Ракетна гармата
NotUsed/Moonlight Blade|Місячне лезо
NotUsed/Morning Star|Моргенштерн
NotUsed/Mortar|Міномет
NotUsed/Mushroom Monster|Грибний монстр
NotUsed/Musician|Музикант
NotUsed/Noble|Дворянин
NotUsed/Orca|Косатка
NotUsed/Peasant|Селянин
NotUsed/Phoenix|Фенікс
NotUsed/Photographer|Фотограф
NotUsed/Pirate|Пірат
NotUsed/Plumber|Сантехнік
NotUsed/Police|Поліцейський
NotUsed/Popular Shop|Популярний магазин
NotUsed/Programmer|Програміст
NotUsed/Psychic|Екстрасенс
NotUsed/Pulse Cannon|Імпульсна гармата
NotUsed/Racer|Гонщик
NotUsed/Rail Cannon|Рейкова гармата
NotUsed/Ravager|Спустошувач
NotUsed/Reaper|Жнець
NotUsed/Rocket Missile|Ракетний снаряд
NotUsed/Roller Spike|Роликовий шип
NotUsed/Ronin|Ронін
NotUsed/Round Leaf Plant|Рослина з круглими листями
NotUsed/School Boy|Школяр
NotUsed/Scout|Розвідник
NotUsed/Shuriken Blade|Лезо-сюрикен
NotUsed/Singer|Співак
NotUsed/Snack Machine|Торговий автомат
NotUsed/Snake|Змія
NotUsed/Soldier|Солдат
NotUsed/Sonic Blaster|Сонічний бластер
NotUsed/Spectre|Привид
NotUsed/Spike Ball|Шипаста куля
NotUsed/Spiked Warhammer|Шипований бойовий молот
NotUsed/Spirit|Дух
NotUsed/Stone Lantern|Кам’яний ліхтар
NotUsed/Super Bundle|Супернабір
NotUsed/Super Collector|Суперколекціонер
NotUsed/Super Rare|Суперрідкісна
NotUsed/Sword|Меч
NotUsed/Teacher|Вчитель
NotUsed/Trailer|Причіп
NotUsed/Trainer|Тренер
NotUsed/Traveller|Мандрівник
NotUsed/Tree Monster|Дерев’яний монстр
NotUsed/Tremor|Тремор
NotUsed/Trolley|Візок
NotUsed/Ultimate Collector|Неперевершений колекціонер
NotUsed/Ultimate Shopkeeper|Неперевершений продавець
NotUsed/Ultra Rare|Ультрарідкісна
NotUsed/Underground Dark|Темне підземелля
NotUsed/Underground Light|Світле підземелля
NotUsed/Unlock All Shelves In Previous Room First|Спочатку відкрийте всі полиці в попередній кімнаті
NotUsed/Update Now|Оновити зараз
NotUsed/Update Required|Потрібно оновити
NotUsed/Updates Available|Доступні оновлення
NotUsed/Vampire|Вампір
NotUsed/Viper|Гадюка
NotUsed/Whisker Workforce|Команда вусатих
NotUsed/Whisker Workforce Pack|Набір «Команда вусатих»
NotUsed/Wing Booster|Крилатий прискорювач
NotUsed/Witch|Відьма
NotUsed/Wizard|Чарівник
NotUsed/Wolf|Вовк
NotUsed/Woodworker|Столяр
NotUsed/Workbench|Верстак
Notification|Сповіщення
November|Листопад
Now Loading|Завантаження
Now Loading...|Завантаження...
Number|Номер
OPEN|ВІДЧИНЕНО
OPEN NOW|ВІДЧИНИТИ ЗАРАЗ
October|Жовтень
Offering|Пропозиція
Omg this place stinks!|О боже, тут смердить!
Open|Відкрити
Open Album|Відкрити альбом
Open Box|Відкрити коробку
Open Card Box|Відкрити коробку карток
Open Now|Відчинити зараз
Open Pack|Відкрити бустер
Open Phone|Відкрити телефон
Open XXX YYY|Відкрити XXX YYY
Open phone and stock up on card packs.|Відкрийте телефон і замовте запас бустерів.
Open up the packaging box and put items on shelf.|Відкрийте пакувальну коробку й викладіть товари на полицю.
Opening card shop...|Відкриття магазину карток...
Oponnent discard XXX card, then destroy a field card at random|Суперник скидає XXX картку, потім випадково знищує картку на полі
Opponent cannot evolve for XXX turn|Суперник не може еволюціонувати протягом XXX ходу
Opponent cannot evolve for XXX turn, draw YYY|Суперник не може еволюціонувати протягом XXX ходу, потім доберіть YYY
Opponent cannot evolve next turn|Суперник не може еволюціонувати наступного ходу
Opponent cannot evolve next turn, draw YYY|Суперник не може еволюціонувати наступного ходу, потім доберіть YYY
Opponent discard XXX card|Суперник скидає XXX картку
Opponent discard XXX card at random|Суперник випадково скидає XXX картку
Opponent discard XXX card at random, then draw YYY card|Суперник випадково скидає XXX картку, потім добирає YYY картку
Opponent discard XXX cards at random, draw YYY|Суперник випадково скидає XXX карток, потім добирає YYY
Order Online FREE Delivery|Замовляйте онлайн — доставка БЕЗКОШТОВНА
Order Summary|Підсумок замовлення
Outline|Контур
Overwrite current save file?|Перезаписати поточне збереження?
Owed Amount|Сума боргу
Page|Сторінка
Past Result|Попередній результат
Pauper|Паупер
Pause|Пауза
Pause Game|Призупинити гру
Pay|Заплатити
Pay All|Заплатити все
Pay Bills|Оплатити рахунки
Pay Tomorrow|Заплатити завтра
Pick up the packages that arrived in front of the shop|Заберіть посилки, доставлені до входу в магазин
Pigni|Пігні
Pigni Plushie|Плюшева іграшка «Пігні»
Pigni Statue|Статуя «Пігні»
Pixy|Піксі
Place|Місце
Place Item|Розмістити товар
Play Effect|Відтворити ефект
Play Hour|Ігрова година
Play Table|Ігровий стіл
Played Game|Зіграно партій
Played In Shop|Зіграно в магазині
Playmat|Ігровий килимок
Playmat (Clamigo)|Ігровий килимок «Кламіго»
Playmat (Dracunix)|Ігровий килимок «Дракунекс»
Playmat (Drakon)|Ігровий килимок «Дракон»
Playmat (Drilceros)|Ігровий килимок «Дрілцерос»
Playmat (Duel)|Ігровий килимок «Дуель»
Playmat (Earth)|Ігровий килимок «Земля»
Playmat (Fire)|Ігровий килимок «Вогонь»
Playmat (GigatronX Evo)|Ігровий килимок «ГіґатронX EVO»
Playmat (Kyrone)|Ігровий килимок «Кайрон»
Playmat (Lunight)|Ігровий килимок «Люнайт»
Playmat (Tetramon)|Ігровий килимок «Тетрамон»
Playmat (The Four Dragons)|Ігровий килимок «Чотири дракони»
Playmat (Water)|Ігровий килимок «Вода»
Playmat (Wind)|Ігровий килимок «Вітер»
Playmat (Wispo)|Ігровий килимок «Віспо»
Please wait...|Зачекайте...
Poseia|Посея
Poseidrake|Посейдрак
Poseigon|Посейгон
Possible Next Day Effect|Можливий ефект наступного дня
Posteed|Постід
Potential Revenue :|Потенційний дохід:
Potted Plant|Кімнатна рослина
Power Up|Підсилення
Premium Collection Book|Преміальний колекційний альбом
Press Any Key|Натисніть будь-яку клавішу
Press Enter to start next day|Натисніть Enter, щоб розпочати наступний день
Press XXX to start next day|Натисніть XXX, щоб розпочати наступний день
Previous 10 Page|Попередні 10 сторінок
Previous Page|Попередня сторінка
Price|Ціна
Price History|Історія цін
Price Up|Зростання ціни
Princestar|Принцстар
Princestar Figurine|Фігурка «Принцстар»
Princestar Statue|Статуя «Принцстар»
Prize|Приз
Pro Player|Професійний гравець
Processing|Обробка
Processing Fee :|Плата за обробку:
Product|Товар
Profit|Прибуток
Pupazz|Пупазз
Purchase|Придбати
Purchase license to unlock this product|Придбайте ліцензію, щоб розблокувати цей товар
Put 10 cards on Card Shelf, set the price to sell them|Розмістіть 10 карток на полиці для карток і встановіть ціну продажу.
Put Card|Розмістити картку
Put Item|Розмістити товар
Put items on shelf to sell them to your customers. Store up to 12 types of item. Each compartment has volume of 64.|Викладайте товари на полицю для продажу. Можна зберігати до 12 типів товарів; місткість кожного відсіку — 64.
Put items on shelf to sell them to your customers. Store up to 16 types of item. Each compartment has volume of 32.|Викладайте товари на полицю для продажу. Можна зберігати до 16 типів товарів; місткість кожного відсіку — 32.
Put items on shelf to sell them to your customers. Store up to 3 types of item. Each compartment has volume of 40.|Викладайте товари на полицю для продажу. Можна зберігати до 3 типів товарів; місткість кожного відсіку — 40.
Put items on shelf to sell them to your customers. Store up to 3 types of item. Each compartment has volume of 48.|Викладайте товари на полицю для продажу. Можна зберігати до 3 типів товарів; місткість кожного відсіку — 48.
Put items on shelf to sell them to your customers. Store up to 5 types of item. Each compartment has volume of 32.|Викладайте товари на полицю для продажу. Можна зберігати до 5 типів товарів; місткість кожного відсіку — 32.
Put items on shelf to sell them to your customers. Store up to 6 types of item. Each compartment has volume of 32.|Викладайте товари на полицю для продажу. Можна зберігати до 6 типів товарів; місткість кожного відсіку — 32.
Put items on shelf to sell them to your customers. Store up to 8 types of item. Each compartment has volume of 64.|Викладайте товари на полицю для продажу. Можна зберігати до 8 типів товарів; місткість кожного відсіку — 64.
Put items on shelf to store your stocks. Store up to 8 types of item. Each compartment has volume of 64.|Зберігайте тут запаси: до 8 типів товарів, місткість кожного відсіку — 64.
Put packaging box on shelf to store your stocks. Store up to 4 types of item. Each compartment has volume of 64.|Ставте пакувальні коробки на полицю для зберігання запасів. До 4 типів товарів, місткість кожного відсіку — 64.
Put packaging box on shelf to store your stocks. Store up to 8 types of item. Each compartment has volume of 64.|Ставте пакувальні коробки на полицю для зберігання запасів. До 8 типів товарів, місткість кожного відсіку — 64.
Put your card collection on this shelf for display. This shelf has 15 card slots.|Виставляйте тут картки зі своєї колекції. На полиці 15 місць для карток.
Put your card collection on this shelf for display. This shelf has 20 card slots.|Виставляйте тут картки зі своєї колекції. На полиці 20 місць для карток.
Put your card collection on this shelf for display. This shelf has 8 card slots.|Виставляйте тут картки зі своєї колекції. На полиці 8 місць для карток.
