Custom Language|Українська
Electric bill is calculated each day based on light usage in shop|Рахунок за електроенергію розраховується щодня на основі використання світла в магазині
Employee|Працівник
Empty Chest|Порожній сундук
Enable|Увімкнути
Ends In :|Закінчується через :
Ends in|Закінчується через
Ends in :|Закінчується через :
Epic|Епічний
Epic Card Box|Епічна коробка карток
Epic Card Pack|Епічний набір карток
Epic Destiny Box|Епічна коробка Долі
Epic Destiny Pack|Епічний набір Долі
Epic Foil Pack|Епічний фольгований набір
Epic pack and card price might XXX|Ціна епічного набору і карток може бути XXX
Esmerdios|Есмердіос
Esmeri|Есмері
Esmerock|Есмерок
Event|Спеціальна подія
Event Ended|Подія завершилася
Event Ends In :|Подія закінчується через :
Evolve|Еволюціонувати
Evolves From|Еволюціонує з
Exit|Вихід
Exit Counter|Лічильник виходу
Exit Game|Вийти з гри
Exp|Досвід
Exp Gained|Отримано досвіду
Expand Shop|Розширити магазин
Expansion|Розширення
Explorer|Дослідник
FIGHT !|БИЙСЯ!
Fair price I'd say.|Я б сказав, справедлива ціна.
Fair price for a XXX.|Справедлива ціна за XXX.
Fair price, but I don't have enough money.|Справедлива ціна, але у мене не вистачає грошей.
Fast|Швидко
February|Лютий
Fee|Полата
Fee is too high here!|Плата тут занадто висока!
Feedback|Відгук
Fees are collected automatically after players finish playing at the play table|Комісії стягуються автоматично після того, як гравці закінчують грати за столом
Fight|Битва
Figurine|Фігурка
Fill Shelf|Заповнити полицю
Fire|Вогонь
Fire Battle Deck|Бойова колода Вогню
Fire Cup|Кубок Вогню
Fire Destiny Deck|Колода Долі Вогню
Fire element deals XXX extra damage this turn|Стихія Вогню завдає XXX додаткового ушкодження цього ходу
Fire element deals XXX extra damage this turn, draw YYY|Стихія Вогню завдає XXX додаткового ушкодження цього ходу, візьміть YYY
Fire element deals double damage this turn|Стихія Вогню завдає подвійну шкоду цього ходу
Fire element deals double damage this turn, but water element deals no damage|Стихія Вогню завдає подвійну шкоду цього ходу, але стихія Води не завдає шкоди
First Edition|Перше видання
Fistronk|Фістронк
Flambrolly|Фламброллі
Flamchik|Фламчик
Flami|Фламі
Flory|Флорі
Foil|Фольга
Foil Booster|Фольгований підсилювач
For Sale|Продається
Format|Формат
Format :|Формат :
Forush|Форуш
Forward|Вперед
Frames Per Second|Кадрів на секунду
Free|Безкоштовно
Frizard|Фрізард
Full Art|Повний арт
Full Expansion|Повне розширення
Full Screen|Повний екран
Fullscreen Toggle|Повноекранний режим
Fuzzy|Розмитий
Game|Гра
Game Earning|Заробіток від гри
Game Paused|Гру призупинено
Game Roadmap|Дорожня карта гри
Game Saved|Гру збережено
Gamepad|Геймпад
Gannon|Ганнон
Gekoflare|Гекофлер
General|Загальний
Ghost|Привид
Ghost Edition|Видання "Привид"
Ghost Pack|Набір "Привид"
Giant Shelf|Гігантська полиця
Giganite|Гіганіт
Giganite Statue|Статуя Гіганіта
GigatronX|ГіґатронХ
Gilgabass|Гілґабас
Give|Дати
Giving|Решта
Giving Away|Дарувати
Global Ranking|Світовий рейтинг
Go Discord|Перейти в Discord
Go Next Day|Перейти до наступного дня
Go Recruit|Рекрутинг
Go Shop|Перейти до магазину
Goals|Цілі
God, so expensive.|Боже, як дорого.
Gold|Золото
Gold Edition|Золоте видання
Gold Finger|Золотий палець
Golden Star|Золота зірка
Good|Добре
Good price!|Гарна ціна!
Good price, but I am broke.|Гарна ціна, але я на мілині.
Grab card packs on shelf and open them to get new cards|Візьміть пакунки карток з полиці та відкрийте їх, щоб отримати нові картки
Grizzaw|Гріззау
Guard|Охорона
Gupi|Гупі
HP|HP
Hand is full already|Рука вже повна
Helio|Геліо
Hey man, I went to the gym every night. You need a muscle?|Гей, чоловіче, я ходив у спортзал щоночі. Потрібні м'язи?
Hey, Benji here. Do you need a helping hand in your shop? I'm so excited to work in your shop!|Привіт, це Бенджі. Тобі потрібна допомога в магазині? Я дуже радий працювати у твоєму магазині!
Hire|Найняти
Hire me cause I play and know a lot about TCG, do I get card packs as bonus at the end of the month?|Найміть мене, бо я граю і знаю багато про TCG. Чи отримаю я набори карток як бонус наприкінці місяця?
Hired!|Найнятий!
Hold|Тримати
Holo Heaven|Голо Рай
Honobi|Хонобі
Huge Card Display|Великий дисплей карток
Huge Personal Shelf|Велика особиста полиця
Hydroid|Гідроїд
Hydron|Гідрон
I am looking for XXX.|Я шукаю XXX.
I can't find XXX.|Я не можу знайти XXX.
I don't have much experience but am willing to learn and do anything. Please hire me cause I need the money to pay for art school.|У мене небагато досвіду, але я готовий вчитися і робити все. Будь ласка, найміть мене, бо мені потрібні гроші, щоб оплатити навчання в художній школі.
I need XXX.|Мені потрібен XXX.
I quit my day job to open my own card game store. This is it, time to get down to business!|Я залишив денну роботу, щоб відкрити власний магазин карткових ігор. Ось воно, час братися до справи!
I want this, but I am broke.|Я хочу це, але я на мілині.
I will play somewhere else!|Я буду грати в іншому місці!
I worked in another shop for a few months and gained experience, just finished art school so I have time to work for a while.|Я працював в іншому магазині кілька місяців і здобув досвід, щойно закінчив художню школу, тому маю час попрацювати деякий час.
I would so buy this if I have enough money|Я б купив це, якби мав достатньо грошей
I'm an enthusiastic gamer who loves TCG. I'm eager to bring my expertise and positive energy to your shop! <3|Я захоплений гравець, який любить TCG. Я готовий принести свій досвід та позитивну енергію у твій магазин! <3
I'm not sure why my friends keep calling me the red comet , they say I move three times faster? Maybe they are just slow.|Я не знаю, чому мої друзі називають мене "червоною кометою", кажуть, що я рухаюся втричі швидше. Може, вони просто повільні.
In Progress|У процесі
Income|Доходи
Inferhog|Інферхог
Inferhog Figurine|Фігурка Інферхога
Inferhog Statue|Статуя Інферхога
Info|Інформація
Insert Name|Введіть ім'я
Insert Shop Name Here|Введіть назву магазину тут
Insert Your Name Here|Введіть своє ім'я тут
Insufficient Cash|Недостатньо готівки
Interact|Взаємодіяти
Interact Put Item|Взаємодіяти / Покласти предмет
Invalid Name|Неприпустиме ім'я
Inventory|Інвентар
Inverted Camera|Перевернута камера
Is there a job opening for your shop? I love collecting cards but money is tight now. I'm a math addict btw.|Чи є вакансія у вашому магазині? Я люблю колекціонувати картки, але зараз бракує грошей. До речі, я фанат математики.
Is this correct?|Це правильно?
It's a little expensive, hmm...|Трохи дорого, хмм...
It's pricey, I need to think a little.|Це дорого, мені потрібно трохи подумати.
It's too smelly!|Надто смердить!
Item|Предмет
Item Earning|Заробіток з предмета
Item Given|Предмет наданий
Item Sold|Предмет проданий
Item Value :|Вартість предмета :
Items will be lost if checkout is not finished. Are you sure about proceeding to the next day?|Предмети буде втрачено, якщо оформлення покупки не завершено. Ви впевнені, що хочете перейти до наступного дня?
Jacktern|Джектерн
January|Січень
Jelicleen|Джеліклін
Jigajawr|Джіґаджавр
July|Липень
Jump|Стрибок
Jump Checkout|Стрибок / Оформлення покупки
June|Червень
Kataryu|Катариу
Katengu|Катенгу
Keep|Зберегти
Keybind|Призначення клавіш
Keyboard|Клавіатура
Kidsune|Кідсуне
King|Король
Kingstar|Кінгстар
Kingstar Plushie|М'яка іграшка Кінгстар
Kingstar Statue|Статуя Кінгстар
Kyrone|Кайрон
Kyuenbi|Кюенбі
LATE !|Запізніла оплата
LEVEL UP!|Підвищення рівня!
LOCKED|ЗАБЛОКОВАНО
Lamia|Ламія
Language|Мова
Large Shelf|Велика полиця
Late By XXX Day|Запізнення на XXX день
Late By XXX Days|Запізнення на XXX днів
Late Payment|Запізніла оплата
Later|Пізніше
Latest Version :|Остання версія
Learn More|Дізнатися більше
Left|Ліворуч
Legend|Легенда
Legendary|Легендарний
Legendary Card Box|Легендарна коробка карток
Legendary Card Pack|Легендарний набір карток
Legendary Collector|Легендарний колекціонер
Legendary Destiny Box|Легендарна коробка долі
Legendary Destiny Pack|Легендарний набір долі
Legendary Foil Pack|Легендарний фольгований набір
Legendary pack and card price might XXX|Ціна легендарного набору і карток може бути XXX
Let 10 customers play card game in the shop|Дозвольте 10 клієнтам пограти в карткову гру в магазині
Let customers in by switching the sign on the window to OPEN|Дозвольте клієнтам увійти, переключивши вивіску на вікні на "ВІДЧИНЕНО"
Level|Рівень
Level :|Рівень :
Level Gained|Отримано рівень
Level MAX|Максимальний рівень
Level Up|Підвищення рівня
Level XXX|Рівень XXX
License|Ліцензія
Litspire|Літспайр
Load|Завантажити
Load Game|Завантажити гру
Loading this save slot will overwrite the current auto save slot. Are you sure about it?|Завантаження цього слота збереження перезапише поточний слот автозбереження. Ви впевнені?
Locked|Заблоковано
Long Shelf|Довга полиця
Losses|Втрати
Lucadence|Люкаденс
Lucadense|Люкаденс
Lucandense|Люкаденс
Lucinder|Люсіндер
Lumie|Лумі
Lunight|Люнайт
Lunight Figurine|Фігурка Люнайта
Lunight Statue|Статуя Люнайта
Luphire|Луфір
Lupup|Лупап
MY DIY|Мій DIY
Mafia Works|Мафія працює
Mage|Маг
Magic|Магія
Magical Attacker|Магічний нападник
Magnoria|Магнорія
Main Menu|Головне меню
Mammotree|Маммотрі
Man Counter|Каса
Man the cashier by standing behind counter and interact it|Станьте за касу та взаємодійте з нею
Man, XXX sure is expensive!|Чоловіче, XXX дійсно дорогий!
Man, this is expensive!|Чоловіче, це дорого!
Manage Event|Керувати подією
Manning Counter|Обслуговування каси
March|Березень
Market Fee|Ринкова комісія
Market Fee :|Ринкова комісія :
Market Price|Ринкова ціна
Marketing|Маркетинг
Match|Матч
May|Травень
Maybe if I have enough money.|Можливо, якщо у мене буде достатньо грошей.
Medium Shelf|Середня полиця
Medium Table|Середній стіл
Megamite Statue|Статуя Мегаміта
Meganite|Меганіт
Meganite Figurine|Фігурка Меганіту
Meganite Statue|Статуя Меганіту
Meganite Statue Upgrade|Оновлення статуї Меганіту
Min|Мін
Minimum Card To Remain|Мінімальна кількість карток для збереження
Minimum Price|Мінімальна ціна
Minotos|Мінотос
Minstar|Мінстар
Minstar Plushie|М'яка іграшка Мінстар
Minstar Statue|Статуя Мінстар
Minute|Хвилина
Minutes|Хвилини
Money|Гроші
More Games|Більше ігор
More Info|Більше інформації
Moskit|Москит
Mothini|Мотіні
Mouse Sensitivity|Чутливість миші
Move|Рухатися
Move Backward|Рухатися назад
Move Forward|Рухатися вперед
Move Left|Рухатися вліво
Move Right|Рухатися вправо
Move Shelf|Перемістити полицю
Muffleur|Муффлер
Mufflimax|Муффлімакс
Mufflin|Муффлін
Mummog|Муммог
Music|Музика
My work standard is quite high, and my skills will be quite invaluable, I assure you.|Мій стандарт роботи досить високий, і мої навички будуть надзвичайно цінними, запевняю вас.
NEW|НОВИНКА
NOTE|Нотатка
Name|Ім'я
Name :|Ім'я :
Name can't be empty|Ім'я не може бути порожнім
Name is not available|Ім'я недоступне
Name is too short|Ім'я занадто коротке
Nanomite|Наноміт
Nanomite Plushie|М'яка іграшка Наноміт
Nanomite Statue|Статуя Наноміта
Nearby Stores Charge|Плата за сусідні магазини
Necromansters|Некромонстри
Need work. Me strong, I carry stuff for you yes?|Потрібна робота. Я сильний, носити речі для вас, так?
Negate XXX of opponent's earth element damage next turn, draw YYY|Нівелюйте XXX шкоди від стихії Землі супротивника наступного ходу, візьміть YYY
Negate XXX of opponent's fire element damage next turn, draw YYY|Нівелюйте XXX шкоди від стихії Вогню супротивника наступного ходу, візьміть YYY
Negate XXX of opponent's water element damage next turn, draw YYY|Нівелюйте XXX шкоди від стихії Води супротивника наступного ходу, візьміть YYY
Negate XXX of opponent's wind element damage next turn, draw YYY|Нівелюйте XXX шкоди від стихії Вітру супротивника наступного ходу, візьміть YYY
New Game|Нова гра
Next|Далі
Next 10 Page|Наступні 10 сторінок
Next Customer:|Наступний клієнт:
Next Day|Наступний день
Next Game Event|Наступна подія гри
Next Goal|Наступна мета
Next Page|Наступна сторінка
Nimblis|Німбліс
Nimboculo|Німбокуло
Nimbustrike|Німбустрейк
No|Ні
No Refund No Exchange!|Без повернення, без обміну!
No XXX here.|Тут немає XXX.
No effect|Без ефекту
No effect on card pack price.|Без впливу на ціну набору карток.
No empty slot available|Немає доступних порожніх слотів
No item on hand|Немає предметів у руці
No space to put the bulk box after bundling|Немає місця для розміщення оптової коробки після пакування
No thanks|Ні, дякую
No, Thank You|Ні, дякую
Nocti|Нокті
Nocti Plushie|М'яка іграшка Нокті
Nocti Statue|Статуя Нокті
None|Немає
Normal|Нормальний
Not Available Yet|Ще недоступний
Not Enough Money|Недостатньо грошей
Not Enough Stock|Недостатньо запасу
Not For Sale|Не продається
Not Found|Не знайдено
Not Good|Не добре
Not a bad price really.|Не така вже й погана ціна.
Not a bad price, but I am broke.|Ціна непогана, але я на мілині.
Not enough card packs|Недостатньо наборів карток
Not enough cards to make into bundle|Недостатньо карток для формування набору
Not enough change given|Недостатньо здачі видано
Not enough customer played in shop|Недостатньо клієнтів грали в магазині
Not enough money|Недостатньо грошей
Not enough shop level|Недостатній рівень магазину
Not more slot available|Немає додаткових слотів
NotUsed/Aetheria|Аетерія
NotUsed/Aetheria RPG|Аетерія RPG
NotUsed/Aetheria RPG Pack|Набір карток Аетерія RPG
NotUsed/Alpha|Альфа
NotUsed/Ancient Hammer|Древній молот
NotUsed/Arc Missile|Дуговий снаряд
NotUsed/Arcade Claw|Аркадна хапайка
NotUsed/Arcade Machine|Аркадний автомат
NotUsed/Archer|Лучник
NotUsed/Architect|Архітектор
NotUsed/Armored Slime|Броньований слиз
NotUsed/Artist|Художник
NotUsed/Astronaut|Астронавт
NotUsed/Axe|Сокира
NotUsed/Axe Warrior|Воїн з сокирою
NotUsed/Barber|Перукар
NotUsed/Barrage Missile|Баражний снаряд
NotUsed/Barrage Missle|Баражний снаряд
NotUsed/Barrel Hammer|Бочковий молот
NotUsed/Bartender|Бармен
NotUsed/Battle|Битва
NotUsed/Battle Chip|Чип битви
NotUsed/Beginner Player|Гравець-початківець
NotUsed/Beta|Бета
NotUsed/Blacksmith|Коваль
NotUsed/Blitz|Бліц
NotUsed/Bodybuilder|Бодібілдер
NotUsed/Bolt|Болт
NotUsed/Bonsai|Бонсай
NotUsed/Bouncer|Вишибайло
NotUsed/Boxing Glove|Боксерська рукавиця
NotUsed/Bumblebee|Джміль
NotUsed/Capacity|Місткість
NotUsed/Capitalist|Капіталіст
NotUsed/Casual|Повсякденний
NotUsed/Casual Player|Повсякденний гравець
NotUsed/Cat Mage|Кіт-маг
NotUsed/Cat Pirate|Кіт-пірат
NotUsed/Cat Thief|Кіт-злодій
NotUsed/Chain Gun|Ланцюговий кулемет
NotUsed/Chill Missile|Охолоджуючий снаряд
NotUsed/Collector|Колекціонер
NotUsed/Composer|Композитор
NotUsed/Connect|Підключити
NotUsed/Connect Error|Помилка підключення
NotUsed/Connecting|Підключення...
NotUsed/Connection Problem|Проблема з підключенням
NotUsed/Connection error|Помилка підключення
NotUsed/Connoisseur|Знавець
NotUsed/Construction|Будівництво
NotUsed/Contains at least:|Містить щонайменше:
NotUsed/Cook|Кухар
NotUsed/Creator|Творець
NotUsed/Crescent Claw|Півмісячний кіготь
NotUsed/Crescent Machete|Півмісячна мачете
NotUsed/Crimson Wheel|Червоне колесо
NotUsed/Cryo Blaster|Кріобластер
NotUsed/Cyber|Кібер
NotUsed/Cyclops|Циклоп
NotUsed/Dark Knight|Темний лицар
NotUsed/Director|Директор
NotUsed/Dragon|Дракон
NotUsed/Dragon Knight|Лицар-дракон
NotUsed/Drill|Свердло
NotUsed/Dual Missile|Подвійна ракета
NotUsed/Eldritch Creature|Елдрічна істота
NotUsed/Elec Broadsword|Електричний палаш
NotUsed/Electric|Електричний
NotUsed/Electric Chainsaw|Електрична бензопила
NotUsed/Electric Spike|Електричний шип
NotUsed/Electrician|Електрик
NotUsed/Energy|Енергія
NotUsed/Energy Shield|Енергетичний щит
NotUsed/Fan Blade|Лезо вентилятора
NotUsed/Farmer|Фермер
NotUsed/Feather Blade|Лезо з пір'ям
NotUsed/Fencer|Фехтувальник
NotUsed/Fire Axe|Вогняна сокира
NotUsed/Fire Broadsword|Вогняний палаш
NotUsed/Fire Katana|Вогняна катана
NotUsed/Fire Rocket|Вогняна ракета
NotUsed/Fire Shield|Вогняний щит
NotUsed/Fire Twin Axe|Подвійна вогняна сокира
NotUsed/Fireman|Пожежник
NotUsed/Flamethrower|Вогнемет
NotUsed/Florist|Флорист
NotUsed/Freeze Bomb|Заморожувальна бомба
NotUsed/Friend Challenge|Виклик друга
NotUsed/Friend Invitation|Запрошення друга
NotUsed/Friend List|Список друзів
NotUsed/Friend Username|Ім'я користувача друга
NotUsed/Friend invitation received|Отримано запрошення від друга
NotUsed/Friend request sent|Запит на додавання в друзі надіслано
NotUsed/Friends|Друзі
NotUsed/Gamer|Геймер
NotUsed/Gamma|Гамма
NotUsed/Garuda|Гаруда
NotUsed/Geologist|Геолог
NotUsed/Giga Blade|Гіга лезо
NotUsed/Giga Bundle|Гіга набір
NotUsed/Giga Cannon|Гіга гармата
NotUsed/Goblin Mage|Гоблін маг
NotUsed/Goblin Thief|Гоблін-злодій
NotUsed/Goblin Warrior|Гоблін-воїн
NotUsed/Golem|Голем
NotUsed/Grandma|Бабуся
NotUsed/Handyman|Майстер на всі руки
NotUsed/Hangar|Ангар
NotUsed/Harpy|Гарпія
NotUsed/Hawk|Яструб
NotUsed/Heat Knife|Ніж нагріву
NotUsed/Heat Missile|Теплова ракета
NotUsed/Hiker|Турист
NotUsed/Ice Broadsword|Крижаний палаш
NotUsed/Ice Mortar|Крижана мінометка
NotUsed/Ice Pike|Крижана піка
NotUsed/Ice Spinner|Крижаний спінер
NotUsed/Ice Twin Spear|Подвійна крижана піка
NotUsed/Inferno Boost|Інферно прискорення
NotUsed/Influencer|Інфлюенсер
NotUsed/Ink Knight|Чорнильний лицар
NotUsed/Investor|Інвестор
NotUsed/Iron Ball|Залізна куля
NotUsed/Janitor|Двірник
NotUsed/Jester|Блазень
NotUsed/Jet Burner|Реактивний пальник
NotUsed/Kabuto|Кабуто
NotUsed/Katana|Катана
NotUsed/Katana Display|Дисплей для катани
NotUsed/Knight|Лицар
NotUsed/Knight Shield|Лицарський щит
NotUsed/Knight Sword|Лицарський меч
NotUsed/Laundry|Пральня
NotUsed/Lawyer|Юрист
NotUsed/Librarian|Бібліотекар
NotUsed/Light Saber|Світловий меч
NotUsed/Lion Shield|Левиний щит
NotUsed/Magnetic Coil|Магнітна котушка
NotUsed/Maid|Покоївка
NotUsed/Master Arena|Майстер арени
NotUsed/Mauler Mace|Булава маулера
NotUsed/Megabot|Мегабот
NotUsed/Megabot Card Collector|Колекціонер карток Мегабота
NotUsed/Megabot Pack|Набір Мегабота
NotUsed/Megavolt Beam|Мегавольтний промінь
NotUsed/Mimic|Мімік
NotUsed/Mini Missile|Міні-ракета
NotUsed/Minotaur|Мінотавр
NotUsed/Missile Cannon|Ракетна гармата
NotUsed/Moonlight Blade|Місячне лезо
NotUsed/Morning Star|Ранкова зірка
NotUsed/Mortar|Міномет
NotUsed/Mushroom Monster|Грибний монстр
NotUsed/Musician|Музикант
NotUsed/Noble|Дворянин
NotUsed/Orca|Косатка
NotUsed/Peasant|Селянин
NotUsed/Phoenix|Фенікс
NotUsed/Photographer|Фотограф
NotUsed/Pirate|Пірат
NotUsed/Plumber|Сантехнік
NotUsed/Police|Поліцейський
NotUsed/Popular Shop|Популярний магазин
NotUsed/Programmer|Програміст
NotUsed/Psychic|Екстрасенс
NotUsed/Pulse Cannon|Пульсуюча гармата
NotUsed/Racer|Гонщик
NotUsed/Rail Cannon|Рейкова гармата
NotUsed/Ravager|Грабіжник
NotUsed/Reaper|Жнець
NotUsed/Rocket Missile|Ракетний снаряд
NotUsed/Roller Spike|Роликовий шип
NotUsed/Ronin|Ронін
NotUsed/Round Leaf Plant|Рослина з круглими листями
NotUsed/School Boy|Школяр
NotUsed/Scout|Розвідник
NotUsed/Shuriken Blade|Шурікен
NotUsed/Singer|Співак
NotUsed/Snack Machine|Торговий автомат
NotUsed/Snake|Змія
NotUsed/Soldier|Солдат
NotUsed/Sonic Blaster|Сонічний бластер
NotUsed/Spectre|Привид
NotUsed/Spike Ball|Шипаста куля
NotUsed/Spiked Warhammer|Шипований бойовий молот
NotUsed/Spirit|Дух
NotUsed/Stone Lantern|Кам'яний ліхтар
NotUsed/Super Bundle|Супер набір
NotUsed/Super Collector|Супер колекціонер
NotUsed/Super Rare|Супер рідкісний
NotUsed/Sword|Меч
NotUsed/Teacher|Вчитель
NotUsed/Trailer|Причіп
NotUsed/Trainer|Тренер
NotUsed/Traveller|Мандрівник
NotUsed/Tree Monster|Дерев'яний монстр
NotUsed/Tremor|Тремор
NotUsed/Trolley|Візок
NotUsed/Ultimate Collector|Ультимативний колекціонер
NotUsed/Ultimate Shopkeeper|Ультимативний продавець
NotUsed/Ultra Rare|Ультра рідкісний
NotUsed/Underground Dark|Підземелля Темряви
NotUsed/Underground Light|Підземелля Світла
NotUsed/Unlock All Shelves In Previous Room First|Спочатку відкрийте всі полиці в попередній кімнаті
NotUsed/Update Now|Оновити зараз
NotUsed/Update Required|Потрібно оновити
NotUsed/Updates Available|Доступні оновлення
NotUsed/Vampire|Вампір
NotUsed/Viper|Гадюка
NotUsed/Whisker Workforce|Команда вусатих
NotUsed/Whisker Workforce Pack|Набір "Команда вусатих"
NotUsed/Wing Booster|Крилатий прискорювач
NotUsed/Witch|Відьма
NotUsed/Wizard|Чарівник
NotUsed/Wolf|Вовк
NotUsed/Woodworker|Столяр
NotUsed/Workbench|Верстак
Notification|Сповіщення
November|Листопад
Now Loading|Завантаження
Now Loading...|Завантаження...
Number|Номер
OPEN|Відкрити
OPEN NOW|Відкрити зараз
October|Жовтень
Offering|Пропозиція
Omg this place stinks!|О боже, тут смердить!
Open|Відкрити
Open Album|Відкрити альбом
Open Box|Відкрити коробку
Open Card Box|Відкрити коробку з картами
Open Now|Відкрити зараз
Open Pack|Відкрити пакунок
Open Phone|Відкрити телефон
Open XXX YYY|Відкрити XXX YYY
Open phone and stock up on card packs.|Відкрийте телефон і запасіться картковими наборами.
Open up the packaging box and put items on shelf.|Відкрийте коробку для пакування і викладіть предмети на полицю.
Opening card shop...|Відкриття карткового магазину...
Oponnent discard XXX card, then destroy a field card at random|Оппонент скидає карту XXX, потім випадково знищує карту з поля
Opponent cannot evolve for XXX turn|Оппонент не може еволюціонувати протягом XXX ходу
Opponent cannot evolve for XXX turn, draw YYY|Оппонент не може еволюціонувати протягом XXX ходу, витягни YYY
Opponent cannot evolve next turn|Оппонент не може еволюціонувати наступного ходу
Opponent cannot evolve next turn, draw YYY|Оппонент не може еволюціонувати наступного ходу, витягни YYY
Opponent discard XXX card|Оппонент скидає карту XXX
Opponent discard XXX card at random|Оппонент випадково скидає карту XXX
Opponent discard XXX card at random, then draw YYY card|Оппонент випадково скидає карту XXX, потім витягує карту YYY
Opponent discard XXX cards at random, draw YYY|Оппонент випадково скидає XXX карт, витягує YYY
Order Online FREE Delivery|Замовте онлайн з безкоштовною доставкою
Order Summary|Резюме замовлення
Outline|Контур
Overwrite current save file?|Перезаписати поточний файл збереження?
Owed Amount|Сума боргу
Page|Сторінка
Past Result|Минулий результат
Pauper|Бідняк
Pause|Пауза
Pause Game|Призупинити гру
Pay|Заплатити
Pay All|Заплатити все
Pay Bills|Оплатити рахунки
Pay Tomorrow|Заплатити завтра
Pick up the packages that arrived in front of the shop|Заберіть посилки, що прибули перед магазином
Pigni|Пігні
Pigni Plushie|М'яка іграшка Пігні
Pigni Statue|Статуя Пігні
Pixy|Піксі
Place|Місце
Place Item|Розмістити предмет
Play Effect|Відтворити ефект
Play Hour|Година гри
Play Table|Ігровий стіл
Played Game|Зіграна гра
Played In Shop|Зіграно в магазині
Playmat|Ігровий килимок
Playmat (Clamigo)|Ігровий килимок (Кламіго)
Playmat (Dracunix)|Ігровий килимок (Дракунекс)
Playmat (Drakon)|Ігровий килимок (Дракон)
Playmat (Drilceros)|Ігровий килимок (Дрилцерос)
Playmat (Duel)|Ігровий килимок (Дуел)
Playmat (Earth)|Ігровий килимок (Земля)
Playmat (Fire)|Ігровий килимок (Вогонь)
Playmat (GigatronX Evo)|Ігровий килимок (ГігаТронX Ево)
Playmat (Kyrone)|Ігровий килимок (Кайрон)
Playmat (Lunight)|Ігровий килимок (Люнайт)
Playmat (Tetramon)|Ігровий килимок (Тетрамон)
Playmat (The Four Dragons)|Ігровий килимок (Чотири дракони)
Playmat (Water)|Ігровий килимок (Вода)
Playmat (Wind)|Ігровий килимок (Вітер)
Playmat (Wispo)|Ігровий килимок (Віспо)
Please wait...|Зачекайте...
Poseia|Посея
Poseidrake|Посейдрак
Poseigon|Посейгон
Possible Next Day Effect|Можливий ефект наступного дня
Posteed|Поштовий
Potential Revenue :|Потенційний дохід :
Potted Plant|Кімнатна рослина
Power Up|Підсилення
Premium Collection Book|Книга преміум-колекції
Press Any Key|Натисніть будь-яку клавішу
Press Enter to start next day|Натисніть Enter, щоб розпочати наступний день
Press XXX to start next day|Натисніть XXX, щоб розпочати наступний день
Previous 10 Page|Попередні 10 сторінок
Previous Page|Попередня сторінка
Price|Ціна
Price History|Історія цін
Price Up|Зростання ціни
Princestar|Принцстар
Princestar Figurine|Фігурка Принцстар
Princestar Statue|Статуя Принцстар
Prize|Приз
Pro Player|Професійний гравець
Processing|Обробка
Processing Fee :|Плата за обробку :
Product|Продукт
Profit|Прибуток
Pupazz|Пупазз
Purchase|Придбати
Purchase license to unlock this product|Придбайте ліцензію, щоб розблокувати цей продукт
Put 10 cards on Card Shelf, set the price to sell them|Розмістіть 10 карток на полиці карток, встановіть ціну для продажу
Put Card|Розмістити картку
Put Item|Розмістити предмет
Put items on shelf to sell them to your customers. Store up to 12 types of item. Each compartment has volume of 64.|Розміщуйте предмети на полиці, щоб продавати їх клієнтам. Зберігайте до 12 типів предметів. Кожний відсік має об'єм 64.
Put items on shelf to sell them to your customers. Store up to 16 types of item. Each compartment has volume of 32.|Розміщуйте предмети на полиці, щоб продавати їх клієнтам. Зберігайте до 16 типів предметів. Кожний відсік має об'єм 32.
Put items on shelf to sell them to your customers. Store up to 3 types of item. Each compartment has volume of 40.|Розміщуйте предмети на полиці, щоб продавати їх клієнтам. Зберігайте до 3 типів предметів. Кожний відсік має об'єм 40.
Put items on shelf to sell them to your customers. Store up to 3 types of item. Each compartment has volume of 48.|Розміщуйте предмети на полиці, щоб продавати їх клієнтам. Зберігайте до 3 типів предметів. Кожний відсік має об'єм 48.
Put items on shelf to sell them to your customers. Store up to 5 types of item. Each compartment has volume of 32.|Розміщуйте предмети на полиці, щоб продавати їх клієнтам. Зберігайте до 5 типів предметів. Кожний відсік має об'єм 32.
Put items on shelf to sell them to your customers. Store up to 6 types of item. Each compartment has volume of 32.|Розміщуйте предмети на полиці, щоб продавати їх клієнтам. Зберігайте до 6 типів предметів. Кожний відсік має об'єм 32.
Put items on shelf to sell them to your customers. Store up to 8 types of item. Each compartment has volume of 64.|Розміщуйте предмети на полиці, щоб продавати їх клієнтам. Зберігайте до 8 типів предметів. Кожний відсік має об'єм 64.
Put items on shelf to store your stocks. Store up to 8 types of item. Each compartment has volume of 64.|Розміщуйте предмети на полиці для зберігання запасів. Зберігайте до 8 типів предметів. Кожний відсік має об'єм 64.
Put packaging box on shelf to store your stocks. Store up to 4 types of item. Each compartment has volume of 64.|Розміщуйте коробку для пакування на полиці для зберігання запасів. Зберігайте до 4 типів предметів. Кожний відсік має об'єм 64.
Put packaging box on shelf to store your stocks. Store up to 8 types of item. Each compartment has volume of 64.|Розміщуйте коробку для пакування на полиці для зберігання запасів. Зберігайте до 8 типів предметів. Кожний відсік має об'єм 64.
Put your card collection on this shelf for display. This shelf has 15 card slots.|Розмістіть свою колекцію карток на цій полиці для демонстрації. Ця полиця має 15 слотів для карток.
